
http://xw.osfs.top/xw/lib/mqzb.txt

龙战于野,#genre#
CCTV1高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
CCTV2高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV3高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV4高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV5高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
CCTV5+高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p
CCTV6高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
CCTV7高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7
CCTV8高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8
CCTV9高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9
CCTV10高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV11高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11
CCTV12高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12
CCTV13高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13
CCTV14高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14
CCTV15高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15
CCTV16高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16
CCTV17高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17
CCTV兵器科技,http://www.lizhinas.top:1009/rtp/239.252.219.98:5140
CCTV世界地理,http://www.lizhinas.top:1009/rtp/239.252.219.93:5140
CCTV风云足球,http://www.lizhinas.top:1009/rtp/239.252.219.96:5140
CCTV风云音乐,http://www.lizhinas.top:1009/rtp/239.252.219.87:5140
CCTV风云剧场,http://www.lizhinas.top:1009/rtp/239.252.219.89:5140
CCTV第一剧场,http://www.lizhinas.top:1009/rtp/239.252.219.86:5140
CCTV怀旧剧场,http://www.lizhinas.top:1009/rtp/239.252.219.90:5140
CCTV文化精品,http://www.lizhinas.top:1009/rtp/239.252.219.81:5140
CCTV女性时尚,http://www.lizhinas.top:1009/rtp/239.252.219.94:5140
CCTV央视台球,http://www.lizhinas.top:1009/rtp/239.252.219.80:5140
CCTV央视高网,http://www.lizhinas.top:1009/rtp/239.252.219.95:5140
CCTV电视指南,http://www.lizhinas.top:1009/rtp/239.252.219.97:5140
北京卫视4K,http://cdn6.bkpcp.top/tl/tuiliu.php?id=bjws
湖南卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws
浙江卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=zjws
江苏卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jsws
东方卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dfws
广东卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gdws
深圳卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=szws
天津卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=tjws
安徽卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=ahws
山东卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sdws
辽宁卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=lnws
河北卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hbws
河南卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hnws
江西卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jxws
四川卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=scws
重庆卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cqws
贵州卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gzws
湖北卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hubws
广西卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gxws
东南卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dnws
海南卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hinws
青海卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=qhws
吉林卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jlws
黑龙江视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hljws


双龙出海,#genre#
CCTV1高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
CCTV2高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV3高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV4高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV5高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
CCTV5+高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p
CCTV6高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
CCTV7高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7
CCTV8高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8
CCTV9高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9
CCTV10高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV11高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11
CCTV12高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12
CCTV13高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13
CCTV14高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14
CCTV15高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15
CCTV16高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16
CCTV17高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17
CCTV兵器科技,http://www.lizhinas.top:1009/rtp/239.252.219.98:5140
CCTV世界地理,http://www.lizhinas.top:1009/rtp/239.252.219.93:5140
CCTV风云足球,http://www.lizhinas.top:1009/rtp/239.252.219.96:5140
CCTV风云音乐,http://www.lizhinas.top:1009/rtp/239.252.219.87:5140
CCTV风云剧场,http://www.lizhinas.top:1009/rtp/239.252.219.89:5140
CCTV第一剧场,http://www.lizhinas.top:1009/rtp/239.252.219.86:5140
CCTV怀旧剧场,http://www.lizhinas.top:1009/rtp/239.252.219.90:5140
CCTV文化精品,http://www.lizhinas.top:1009/rtp/239.252.219.81:5140
CCTV女性时尚,http://www.lizhinas.top:1009/rtp/239.252.219.94:5140
CCTV央视台球,http://www.lizhinas.top:1009/rtp/239.252.219.80:5140
CCTV央视高网,http://www.lizhinas.top:1009/rtp/239.252.219.95:5140
CCTV电视指南,http://www.lizhinas.top:1009/rtp/239.252.219.97:5140
北京卫视4K,http://cdn6.bkpcp.top/tl/tuiliu.php?id=bjws
湖南卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws
浙江卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=zjws
江苏卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jsws
东方卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dfws
广东卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gdws
深圳卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=szws
天津卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=tjws
安徽卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=ahws
山东卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sdws
辽宁卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=lnws
河北卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hbws
河南卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hnws
江西卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jxws
四川卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=scws
重庆卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cqws
贵州卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gzws
湖北卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hubws
广西卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gxws
东南卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dnws
海南卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hinws
青海卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=qhws
吉林卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jlws
黑龙江视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hljws

龙马精神,#genre#
CCTV1高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
CCTV2高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV3高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV4高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV5高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
CCTV5+高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p
CCTV6高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
CCTV7高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7
CCTV8高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8
CCTV9高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9
CCTV10高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV11高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11
CCTV12高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12
CCTV13高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13
