




超清频道,#genre#
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
港澳频道,#genre#
凤凰资讯欣赏,http://rihou.cc:555/tv/Pdl凤凰资讯
凤凰资讯欣赏,http://rihou.cc:555/tv/Hkl凤凰资讯
凤凰资讯欣赏,http://rihou.cc:555/tv/Bxl凤凰资讯
鳳凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27
凤凰中文欣赏,http://rihou.cc:555/tv/Pdl凤凰中文
凤凰中文欣赏,http://rihou.cc:555/tv/Hkl凤凰中文
凤凰香港欣赏,http://rihou.cc:555/tv/Pdl凤凰香港
凤凰香港欣赏,http://rihou.cc:555/tv/Hkl凤凰香港
凤凰香港欣赏,http://rihou.cc:555/tv/Bxl凤凰香港
TVB翡翠,http://iptv.4666888.xyz/iptv2A.php?id=34
TVB翡翠(馬來),http://iptv.4666888.xyz/iptv2A.php?id=28
TVB明珠,http://iptv.4666888.xyz/iptv2A.php?id=29
TVBJ1,http://iptv.4666888.xyz/iptv2A.php?id=26
TVB1,http://iptv.4666888.xyz/iptv2A.php?id=25
千禧经典,http://iptv.4666888.xyz/iptv2A.php?id=22
HOY77,http://iptv.4666888.xyz/iptv2A.php?id=35
HOY78,http://iptv.4666888.xyz/iptv2A.php?id=31
RTHK31,http://iptv.4666888.xyz/iptv2A.php?id=23
TVB娱乐新闻,http://iptv.4666888.xyz/iptv2A.php?id=36
MYTV黃金翡翠,http://iptv.4666888.xyz/iptv2A.php?id=32
TVB翡翠劇集,http://iptv.4666888.xyz/iptv2A.php?id=33
有线新闻欣赏,http://rihou.cc:555/tv/Mtl有线新闻
有线新闻欣赏,http://iptv.4666888.xyz/iptv2A.php?id=31
无线新闻欣赏,http://rihou.cc:555/tv/Mtl无线新闻
无线新闻欣赏,http://rihou.cc:555/tv/Bxl无线新闻
Now新闻欣赏,http://rihou.cc:555/tv/MtlNow新闻
tvbS新闻欣赏,http://rihou.cc:555/tv/FYltvbS新闻
tvbS闽南欣赏,http://rihou.cc:555/tv/Hkltvbs闽南
POPC,mitv://starvod.xyz:19806/688bba7c000da6943214e2280ad91465.ts
邵氏电影,http://iptv.4666888.xyz/iptv2A.php?id=39
爱奇艺,http://iptv.4666888.xyz/iptv2A.php?id=21
